"","year","race","dollar_type","income_quintile","income_dollars"
"414",2004,"All Races","2019 Dollars","Top 5%",358043
"415",2003,"All Races","2019 Dollars","Lowest",13929
"416",2003,"All Races","2019 Dollars","Second",35780
"417",2003,"All Races","2019 Dollars","Middle",60736
"418",2003,"All Races","2019 Dollars","Fourth",96137
"419",2003,"All Races","2019 Dollars","Highest",204940
"420",2003,"All Races","2019 Dollars","Top 5%",352866
"421",2002,"All Races","2019 Dollars","Lowest",14236
"422",2002,"All Races","2019 Dollars","Second",36196
"423",2002,"All Races","2019 Dollars","Middle",60995
"424",2002,"All Races","2019 Dollars","Fourth",95943
"425",2002,"All Races","2019 Dollars","Highest",204842
"426",2002,"All Races","2019 Dollars","Top 5%",357704
"427",2001,"All Races","2019 Dollars","Lowest",14672
"428",2001,"All Races","2019 Dollars","Second",36865
"429",2001,"All Races","2019 Dollars","Middle",61706
"430",2001,"All Races","2019 Dollars","Fourth",96751
"431",2001,"All Races","2019 Dollars","Highest",211295
"432",2001,"All Races","2019 Dollars","Top 5%",377027
"433",2000,"All Races","2019 Dollars","Lowest",15121
"434",2000,"All Races","2019 Dollars","Second",37756
"435",2000,"All Races","2019 Dollars","Middle",62874
"436",2000,"All Races","2019 Dollars","Fourth",97740
"437",2000,"All Races","2019 Dollars","Highest",211800
"438",2000,"All Races","2019 Dollars","Top 5%",375756
"439",1999,"All Races","2019 Dollars","Lowest",15262
"440",1999,"All Races","2019 Dollars","Second",37473
"441",1999,"All Races","2019 Dollars","Middle",62724
"442",1999,"All Races","2019 Dollars","Fourth",97624
"443",1999,"All Races","2019 Dollars","Highest",208183
"444",1999,"All Races","2019 Dollars","Top 5%",361842
"445",1998,"All Races","2019 Dollars","Lowest",14499
"446",1998,"All Races","2019 Dollars","Second",36609
"447",1998,"All Races","2019 Dollars","Middle",61257
"448",1998,"All Races","2019 Dollars","Fourth",94740
"449",1998,"All Races","2019 Dollars","Highest",200479
"450",1998,"All Races","2019 Dollars","Top 5%",349434
"451",1997,"All Races","2019 Dollars","Lowest",14083
"452",1997,"All Races","2019 Dollars","Second",35209
"453",1997,"All Races","2019 Dollars","Middle",59235
"454",1997,"All Races","2019 Dollars","Fourth",91746
"455",1997,"All Races","2019 Dollars","Highest",195602
"456",1997,"All Races","2019 Dollars","Top 5%",343257
"457",1996,"All Races","2019 Dollars","Lowest",13991
"458",1996,"All Races","2019 Dollars","Second",34341
"459",1996,"All Races","2019 Dollars","Middle",57763
"460",1996,"All Races","2019 Dollars","Fourth",89400
"461",1996,"All Races","2019 Dollars","Highest",188029
"462",1996,"All Races","2019 Dollars","Top 5%",327537
"463",1995,"All Races","2019 Dollars","Lowest",13945
"464",1995,"All Races","2019 Dollars","Second",34086
"465",1995,"All Races","2019 Dollars","Middle",56995
"466",1995,"All Races","2019 Dollars","Fourth",87614
"467",1995,"All Races","2019 Dollars","Highest",182837
"468",1995,"All Races","2019 Dollars","Top 5%",315551
"469",1994,"All Races","2019 Dollars","Lowest",13201
"470",1994,"All Races","2019 Dollars","Second",32899
"471",1994,"All Races","2019 Dollars","Middle",55423
"472",1994,"All Races","2019 Dollars","Fourth",86244
"473",1994,"All Races","2019 Dollars","Highest",181310
"474",1994,"All Races","2019 Dollars","Top 5%",313255
"475",1993,"All Races","2019 Dollars","Lowest",12857
"476",1993,"All Races","2019 Dollars","Second",32594
"477",1993,"All Races","2019 Dollars","Middle",54635
"478",1993,"All Races","2019 Dollars","Fourth",84907
"479",1993,"All Races","2019 Dollars","Highest",176899
"480",1993,"All Races","2019 Dollars","Top 5%",303618
"481",1992,"All Races","2019 Dollars","Lowest",12997
"482",1992,"All Races","2019 Dollars","Second",32565
"483",1992,"All Races","2019 Dollars","Middle",54865
"484",1992,"All Races","2019 Dollars","Fourth",84222
"485",1992,"All Races","2019 Dollars","Highest",163192
"486",1992,"All Races","2019 Dollars","Top 5%",259015
"487",1991,"All Races","2019 Dollars","Lowest",13265
"488",1991,"All Races","2019 Dollars","Second",33318
"489",1991,"All Races","2019 Dollars","Middle",55342
"490",1991,"All Races","2019 Dollars","Fourth",84363
"491",1991,"All Races","2019 Dollars","Highest",161774
"492",1991,"All Races","2019 Dollars","Top 5%",252462
"493",1990,"All Races","2019 Dollars","Lowest",13633
"494",1990,"All Races","2019 Dollars","Second",34302
"495",1990,"All Races","2019 Dollars","Middle",56658
"496",1990,"All Races","2019 Dollars","Fourth",85423
"497",1990,"All Races","2019 Dollars","Highest",165776
"498",1990,"All Races","2019 Dollars","Top 5%",263980
"499",1989,"All Races","2019 Dollars","Lowest",13962
"500",1989,"All Races","2019 Dollars","Second",34737
"501",1989,"All Races","2019 Dollars","Middle",57743
"502",1989,"All Races","2019 Dollars","Fourth",87344
"503",1989,"All Races","2019 Dollars","Highest",170741
"504",1989,"All Races","2019 Dollars","Top 5%",275857
"505",1988,"All Races","2019 Dollars","Lowest",13470
"506",1988,"All Races","2019 Dollars","Second",33998
"507",1988,"All Races","2019 Dollars","Middle",56863
"508",1988,"All Races","2019 Dollars","Fourth",85955
"509",1988,"All Races","2019 Dollars","Highest",164099
